epoch,train_loss,train_accuracy,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_balanced_accuracy
1,0.8033343167641224,0.6774172008547008,0.5992581602373888,0.7683275003194745,0.7257142485139777,0.6659960146014621,0.7257142485139777
2,0.3447193266489567,0.83984375,0.5876854599406528,0.7455185663214706,0.7286835222695632,0.6805075338554432,0.7286835222695632
3,0.21902724833060533,0.8972021901709402,0.5716617210682493,0.6599527160032848,0.7026749423842408,0.6418109189057426,0.7026749423842408
4,0.16860838731129965,0.9189703525641025,0.5566765578635015,0.6496383904042504,0.6916711380421791,0.6270339050894946,0.6916711380421791
5,0.12207911846538384,0.9414730235042735,0.5637982195845698,0.6426252679687984,0.6961203024876456,0.6509342083324872,0.6961203024876456
6,0.07595142340048766,0.9643763354700855,0.6078635014836795,0.7430254396180982,0.7344716511922945,0.7036959710035995,0.7344716511922945
7,0.07818298194652949,0.9628739316239316,0.5896142433234421,0.6942324702216558,0.7082267090853642,0.6711062403189523,0.7082267090853642
8,0.06635207673295951,0.9684161324786325,0.562166172106825,0.6982352538219382,0.6928106579138896,0.635370256409433,0.6928106579138896
9,0.054558477483880825,0.9746928418803419,0.5807121661721069,0.6644066252127225,0.6868817684627886,0.6568608979362552,0.6868817684627886
10,0.04410268574093397,0.9795005341880342,0.6173590504451039,0.7241854554784348,0.7392668298020351,0.6998104934482463,0.7392668298020351
11,0.039789146098953024,0.9818376068376068,0.5280415430267063,0.6234244075133626,0.6582168131679813,0.605530652327477,0.6582168131679813
12,0.05025652122612183,0.9764957264957265,0.5839762611275965,0.7028296092798705,0.6888421825171643,0.6405928295625082,0.6888421825171643
13,0.04021371397165916,0.9813034188034188,0.6353115727002967,0.7515755818806683,0.7540830773923242,0.7198403425821254,0.7540830773923242
14,0.03537134893047504,0.9852096688034188,0.615727002967359,0.6917552068711137,0.7224081533861714,0.6821641904447964,0.7224081533861714
15,0.031155431893869087,0.9864449786324786,0.6216617210682492,0.7370314088616038,0.7047696896297675,0.6749416217692463,0.7047696896297675
16,0.02632231016953786,0.988815438034188,0.636646884272997,0.7641628989353497,0.7547773079985843,0.7236340302152018,0.7547773079985843
17,0.019576267022878315,0.9907852564102564,0.6538575667655786,0.7566733101674888,0.7566568345543497,0.7354812905376089,0.7566568345543497
18,0.024413656723948244,0.9893496260683761,0.5949554896142433,0.7212513542689163,0.7219083176915798,0.6865555412284503,0.7219083176915798
19,0.023867164141474627,0.9893162393162394,0.6048961424332344,0.7081709505986309,0.7151441649852445,0.6694010147960769,0.7151441649852445
20,0.023521710330477126,0.9903178418803419,0.6324925816023739,0.7102268838076914,0.7340307295426093,0.693958355314697,0.7340307295426093
21,0.04426685159500593,0.9817040598290598,0.6252225519287834,0.726672199300815,0.7538437765563144,0.7107513339918775,0.7538437765563144
22,0.040871139305333294,0.9817708333333334,0.6556379821958457,0.7384146340786368,0.7409447134201246,0.7178901554218853,0.7409447134201246
23,0.04379778979823758,0.9827056623931624,0.5937685459940653,0.7127649838831815,0.7159645939616073,0.6652282496758,0.7159645939616073
24,0.023093143478035927,0.9899839743589743,0.6375370919881306,0.7555719449005962,0.7481164781329458,0.7188910633846364,0.7481164781329458
25,0.02193774152487421,0.9921207264957265,0.6152818991097923,0.7189272721852842,0.7090252307525501,0.6742096172954258,0.7090252307525501
26,0.018217760344179205,0.9911525106837606,0.6304154302670623,0.7499972766481875,0.7605587138913537,0.7261986517560468,0.7605587138913537
27,0.011353835176963072,0.9953926282051282,0.627893175074184,0.7655946423818831,0.7529024514336347,0.7189016355322551,0.7529024514336347
28,0.014782393218364375,0.9942908653846154,0.56973293768546,0.6776054290255933,0.6900511766844549,0.6344268337624602,0.6900511766844549
29,0.023504228671439566,0.9891493055555556,0.5943620178041543,0.7094177661949279,0.7137290355823519,0.6659046535277774,0.7137290355823519
30,0.018785054073072016,0.991920405982906,0.6054896142433235,0.7136150842829734,0.7162452947070972,0.6699419230197254,0.7162452947070972
31,0.01897545451990878,0.9921207264957265,0.6035608308605341,0.716937424755468,0.7095298993191835,0.6673744892423937,0.7095298993191835
32,0.019169054065759365,0.9910189636752137,0.6154302670623145,0.7186393962163509,0.7343770262158871,0.6972234795659191,0.7343770262158871
