epoch,train_loss,train_recon_loss,train_prior_recon_loss,train_pred_loss,train_kl_loss,val_loss,val_recon_loss,val_prior_recon_loss,val_pred_loss,val_kl_loss
1,0.431121755702329,0.07491197835279588,0.5907821259263021,0.03923217941780005,2.1586533838461013,0.31119192935325,0.014890801677530681,0.5387227519138439,0.009590014160887615,1.734973696438042
2,0.2988247150964591,0.012578389305919663,0.5247558486319481,0.008315950312399428,1.555245286358276,0.30229565460939667,0.01138209005364695,0.5377441346645355,0.007501563252377752,1.453993541163367
3,0.28900338282881644,0.009136168358393737,0.5178338134918343,0.00709933544996193,1.3850974423312654,0.29003435473989797,0.007906891317484347,0.5248187397782867,0.006774590426200145,1.2943504452705383
4,0.2827872096527577,0.006953938135137905,0.5141069155433922,0.006310152073963537,1.2469662462426208,0.281431840883719,0.005264758786841019,0.5155729792408041,0.006095061424767246,1.228553206533999
5,0.2780427049839111,0.0053030647832449694,0.5113436830003176,0.0055825419619273285,1.1485256990338508,0.2773634737005105,0.004991526004380068,0.5122457678253586,0.005274677416309714,1.0974386141106889
6,0.27554167662406087,0.004856314552151415,0.5095951894783689,0.005074752671596494,1.0813015293222066,0.2823945674541834,0.005747643746183933,0.5226000100374222,0.0050740936531911834,1.0272821574597746
7,0.2745572844904164,0.004413757966260158,0.5094109309592889,0.004931541941933067,1.050651923659713,0.28093523451605357,0.004823405994102359,0.5167062371163755,0.005478505196200835,1.2280206180907585
8,0.27387254498581665,0.004332955707708656,0.5087666200312073,0.00489586022058962,1.0260419804964602,0.27563934873890233,0.005336048068931779,0.5120099593658705,0.004550013968066589,0.9748305243414801
9,0.27296767743015615,0.003968608399830898,0.5083458022019323,0.004757397474159424,1.0068771252234099,0.2739808801058176,0.00367960160459719,0.511375908916061,0.004830503320271099,0.9782819812362259
10,0.2726285849813708,0.0038215808119796205,0.507891669793267,0.004832873120903969,1.0028296562841439,0.2772703309719627,0.005105556479680377,0.5145812453450384,0.004880708050788255,0.9993441644552592
11,0.2715250676850038,0.003797760744955156,0.5068666015512087,0.004620853889244886,0.96731529142422,0.27259910046248825,0.004177314751605327,0.5086873270369865,0.004470425286657504,0.9607695832445815
12,0.2708750375287902,0.0037215580303837535,0.5061898629039882,0.004548574465023928,0.9509973761576404,0.2729589721641025,0.003922110470641102,0.5084537452942616,0.004161487591478067,1.0648503972066414
13,0.27033215639335334,0.003604049853079364,0.5065610275256369,0.004482620707086368,0.8964971330340514,0.27164953604743286,0.0034054760204477084,0.5099236510089926,0.004492215378008582,0.8790020113055771
14,0.26956670788422965,0.003458175049012676,0.5057414753372056,0.004628372776085667,0.8609422810845319,0.2712347579968942,0.0028000704541399674,0.5112930234219577,0.004631423372523607,0.8156753569035917
15,0.2685409418515087,0.0033623309813128875,0.5052334119453138,0.004388649709160984,0.8173255327409943,0.2766746733639691,0.0032210554738805906,0.51611435453634,0.004234826349577791,1.1161614157058097
16,0.26797190874662674,0.003183393872833257,0.5050365031780945,0.004281646233715206,0.7988616825165497,0.276231880929019,0.002909415584007228,0.5201611261110048,0.0043936207689143515,0.8848282445121456
17,0.2674567843874634,0.0032468362163206536,0.5045205550664937,0.004178986524103219,0.7770683917723076,0.27000368165003286,0.003900245294553807,0.5076073440345558,0.004213080244340204,0.8086680600772033
18,0.26729273933162073,0.0030978284514425053,0.5048452475103447,0.0041725542201950915,0.7599733250510754,0.2720290337865417,0.003215073330982311,0.5140519601267737,0.004100394303079795,0.76875876977637
19,0.26657423262803276,0.0031154250418307223,0.5041190030932223,0.0040142836546592,0.738502278543209,0.26716818600087555,0.0028517862146317558,0.5074116374189789,0.003630341140779893,0.6980240788008716
20,0.2667829214612711,0.0031934896816405924,0.504548739229394,0.003954914135912361,0.7360147929272822,0.26926160664171783,0.003064699225580773,0.5088985360957481,0.0039016672321972815,0.7845972438116331
21,0.2650434609876987,0.0030993110943725254,0.5025871511821649,0.003516387371695402,0.7134186536124455,0.26749515432763743,0.002879486063721816,0.5096020654246614,0.0032685378572677036,0.6546097204491899
22,0.26363952668602664,0.0030812620311448735,0.5011090056961196,0.002999782755025353,0.7003979626059329,0.2688340584974031,0.0036369135408234354,0.509530848345241,0.0035009428707731736,0.6930779250892433
23,0.2623508298925078,0.002914461431377512,0.5002074340640787,0.0025974904231447883,0.6735161632248653,0.26477404321367676,0.0029289523183645026,0.5046230643182188,0.002917266944800881,0.661629188705135
24,0.2616468124992803,0.0028805970515757544,0.49995698352079376,0.0023148664094038065,0.6472857604644164,0.26347617402270035,0.0027916554544070685,0.5045681257505674,0.002192559390882584,0.6207898645787626
25,0.26068529212495134,0.002738511944237265,0.49930520444549936,0.0020401105556392715,0.6254066856390776,0.26365253168183406,0.0028362186952821306,0.5051266486580307,0.0019874852842877845,0.6265503337254396
