activity,channel,real_sampled_windows,synthetic_sampled_windows,real_to_nearest_real_mse_mean,real_to_nearest_real_mse_median,real_to_nearest_real_mse_p05,real_to_nearest_real_mse_p95,syn_to_nearest_syn_mse_mean,syn_to_nearest_syn_mse_median,syn_to_nearest_syn_mse_p05,syn_to_nearest_syn_mse_p95,syn_to_nearest_real_mse_mean,syn_to_nearest_real_mse_median,syn_to_nearest_real_mse_p05,syn_to_nearest_real_mse_p95,syn_nn_vs_real_nn_ratio,syn_nearest_real_vs_real_nn_ratio
1,ACC_x,1000,1000,0.02481137402355671,0.0005592182278633118,3.026798367500305e-09,0.1253514140844345,0.028129195794463158,0.003638029098510742,0.00220334529876709,0.11996480077505112,0.03889240324497223,0.00402405858039856,0.0015773713821545243,0.20308052003383636,1.13372180709365,1.5675231532137859
1,ACC_y,1000,1000,0.007775741629302502,0.00012675859034061432,0.0,0.0302012637257576,0.006897568702697754,0.0007723420858383179,0.0004011761338915676,0.029794521629810333,0.009733986109495163,0.001467883586883545,0.00032348482636734843,0.04535525664687157,0.8870624863234401,1.2518402196921143
1,ACC_z,1000,1000,0.03352000564336777,0.000469014048576355,4.618987532012397e-06,0.22811248898506165,0.03131253272294998,0.0038722120225429535,0.002045991364866495,0.14989197254180908,0.040368251502513885,0.004877343773841858,0.001568651176057756,0.20336881279945374,0.9341446137001306,1.2043032430246952
1,BVP,1000,1000,0.1438523381948471,0.050199881196022034,0.006177298724651337,0.6115928292274475,0.13289988040924072,0.06053212285041809,0.028638368472456932,0.490974485874176,0.13672460615634918,0.0490453839302063,0.016722867265343666,0.49159541726112366,0.9238631924719127,0.9504510519054375
1,EDA,1000,1000,3.0058006814215332e-05,0.0,0.0,9.29564266698435e-05,6.930965173523873e-05,4.9233436584472656e-05,2.8371810913085938e-05,0.00015835762314964086,0.007005500607192516,0.0005861520767211914,2.5033950805664062e-05,0.031354814767837524,2.305863198569112,233.066039624404
1,TEMP,1000,1000,3.899216608260758e-06,2.86102294921875e-06,0.0,1.0502338227524888e-05,3.8053512980695814e-05,2.8371810913085938e-05,1.6450881958007812e-05,9.218454215442762e-05,5.819868965772912e-05,3.457069396972656e-05,1.2874603271484375e-05,0.0001952648162841797,9.759271362374902,14.925739066260437
2,ACC_x,1000,1000,0.37946027517318726,0.2517755627632141,0.06510882824659348,1.2317043542861938,0.3666060268878937,0.23850968480110168,0.0752992033958435,1.1153093576431274,0.3618324100971222,0.23784977197647095,0.0634688138961792,1.0249829292297363,0.9661249170827517,0.95354489987649
2,ACC_y,1000,1000,0.2968345284461975,0.25072550773620605,0.08846847712993622,0.7166604995727539,0.41057413816452026,0.34287726879119873,0.059343863278627396,1.0060547590255737,0.4788324534893036,0.41296786069869995,0.053576089441776276,1.0835338830947876,1.3831751323328227,1.6131292272357525
2,ACC_z,1000,1000,0.24669383466243744,0.1500871181488037,0.04224999621510506,0.7360084652900696,0.2712413966655731,0.19990688562393188,0.06619000434875488,0.7213276624679565,0.2772878408432007,0.2123313546180725,0.04900256544351578,0.6889550685882568,1.0995061835928135,1.1240160955892005
2,BVP,1000,1000,0.6137852668762207,0.2461908906698227,0.038407083600759506,2.0252349376678467,0.4943697452545166,0.1591881513595581,0.08222055435180664,1.7247252464294434,0.46582505106925964,0.13104645907878876,0.044681351631879807,1.6394708156585693,0.8054441380949828,0.7589381436931761
2,EDA,1000,1000,0.001272082095965743,1.1026859283447266e-05,0.0,0.004379719495773315,0.0010644292924553156,0.00043313950300216675,0.0002089619665639475,0.0040269759483635426,0.010125236585736275,0.0008525736629962921,0.0001830458641052246,0.0453961007297039,0.8367614761901189,7.95957793749889
2,TEMP,1000,1000,4.0631293813930824e-06,3.0994415283203125e-06,0.0,1.1682510375976562e-05,0.00011705506040016189,9.560585021972656e-05,6.318092346191406e-05,0.00023993253125809133,0.00012109124509152025,8.7738037109375e-05,4.2438507080078125e-05,0.00029330252436921,28.809090091054017,29.802458579353182
3,ACC_x,1000,1000,0.5134683847427368,0.355756938457489,0.06369417905807495,1.4154576063156128,0.3978022038936615,0.23433692753314972,0.05868089571595192,1.2849164009094238,0.4008462429046631,0.2254699468612671,0.04033190384507179,1.354589819908142,0.7747355352617716,0.7806639217047397
3,ACC_y,1000,1000,0.1201946884393692,0.08769845962524414,0.007981931790709496,0.34715238213539124,0.13564231991767883,0.09890921413898468,0.03464263305068016,0.3299216628074646,0.2411450743675232,0.1779928207397461,0.0232325978577137,0.6512280702590942,1.128521748164454,2.006287278569435
3,ACC_z,1000,1000,0.5162403583526611,0.37898892164230347,0.04626477137207985,1.3997857570648193,0.3867858946323395,0.21412086486816406,0.05166521295905113,1.302037000656128,0.4195415675640106,0.26406335830688477,0.03581620380282402,1.3916947841644287,0.749236064895401,0.8126864953038168
3,BVP,1000,1000,1.3157427310943604,0.7298997640609741,0.06432023644447327,4.441990852355957,0.8220078349113464,0.2637730836868286,0.08104389160871506,3.2844855785369873,0.7693749070167542,0.1583450734615326,0.044022880494594574,3.378161907196045,0.6247481483159302,0.5847457020544067
3,EDA,1000,1000,0.002474710112437606,0.001342177391052246,4.523992629401619e-06,0.009086370468139648,0.0025976011529564857,0.0017693042755126953,0.0005908504244871438,0.007005614228546619,0.002915726276114583,0.002294301986694336,0.0006466165068559349,0.006658762693405151,1.0496587620106468,1.1782092219450193
3,TEMP,1000,1000,5.87725617151591e-06,3.337860107421875e-06,0.0,1.8596649169921875e-05,0.0002661383186932653,0.00019240379333496094,0.00010106563422596082,0.0005564928287640214,0.00027480232529342175,0.0001939535140991211,6.771087646484375e-05,0.0005927681922912598,45.28274945426119,46.756907862081924
4,ACC_x,1000,1000,1.0162405967712402,0.6944999694824219,0.12812300026416779,2.7033584117889404,0.8026132583618164,0.4369494318962097,0.11641611903905869,2.420959711074829,0.8711732029914856,0.5277462005615234,0.08265794068574905,2.648489475250244,0.789786651814391,0.857250936204815
4,ACC_y,1000,1000,0.3091738224029541,0.2447890043258667,0.0542416088283062,0.8147938847541809,0.2910168468952179,0.2153782844543457,0.06213498115539551,0.7223430275917053,0.3358486592769623,0.26617908477783203,0.04699272662401199,0.7987080216407776,0.9412725975096566,1.0862777988986474
