candidate,activity,signal,feature_dim,real_train_sampled_windows,synthetic_sampled_windows,real_train_to_nearest_real_train_mse_mean,real_train_to_nearest_real_train_mse_median,real_train_to_nearest_real_train_mse_p01,real_train_to_nearest_real_train_mse_p05,real_train_to_nearest_real_train_mse_p95,syn_to_nearest_train_real_mse_mean,syn_to_nearest_train_real_mse_median,syn_to_nearest_train_real_mse_p01,syn_to_nearest_train_real_mse_p05,syn_to_nearest_train_real_mse_p95,syn_to_nearest_syn_mse_mean,syn_to_nearest_syn_mse_median,syn_to_nearest_syn_mse_p01,syn_to_nearest_syn_mse_p05,syn_to_nearest_syn_mse_p95,copy_ratio_mean,near_duplicate_threshold_real_train_p01_mse,near_duplicate_rate_p01_lower_is_better,synthetic_diversity_ratio_mean
prior,1,ACC_x,512,1000,1000,0.03309575095772743,0.0006031394004821777,0.0,4.5299530029296875e-06,0.24486295878887177,0.0004604743153322488,0.00034922361373901367,7.31897380319424e-05,0.0001023411750793457,0.0015925050247460604,1.176575187855633e-05,8.940696716308594e-06,3.680279405671172e-06,4.649162292480469e-06,2.616499477881007e-05,0.013913396795872795,0.0,0.0,0.0003555064181376183
prior,2,ACC_x,512,1000,1000,0.34339216351509094,0.24751511216163635,0.06517183780670166,0.08444550633430481,0.947953999042511,0.05771731957793236,0.050558507442474365,0.0397099070250988,0.039840538054704666,0.07901014387607574,1.6831383618409745e-05,1.1861324310302734e-05,5.364418029785156e-06,6.639957518927986e-06,3.6272405850468203e-05,0.16807989730201248,0.06517183780670166,0.649,4.901504870151197e-05
prior,3,ACC_x,512,1000,1000,0.5594564080238342,0.38120314478874207,0.03620147705078125,0.06755495071411133,1.5069694519042969,0.02705889753997326,0.022056521847844124,0.009084546007215977,0.010079169645905495,0.050565075129270554,3.3864445867948234e-05,2.8410926461219788e-05,1.311063806497259e-05,1.645013617235236e-05,6.78695723763667e-05,0.04836640916412648,0.03620147705078125,0.634,6.053098218602498e-05
prior,4,ACC_x,512,1000,1000,1.1683452129364014,0.8434611558914185,0.13655099272727966,0.1685500144958496,2.9694488048553467,0.07765167206525803,0.0773346871137619,0.060866259038448334,0.06215474009513855,0.09500639885663986,2.373900315433275e-05,1.843273639678955e-05,8.225142664741725e-06,9.594858056516387e-06,5.543753650272265e-05,0.0664629522211985,0.13655099272727966,1.0,2.0318483690851546e-05
prior,5,ACC_x,512,1000,1000,0.43162402510643005,0.22843268513679504,0.024937644600868225,0.03798970207571983,1.4532999992370605,0.014277474023401737,0.013499632477760315,0.009311016649007797,0.010150785557925701,0.02061185985803604,1.8771830582409166e-05,1.3668090105056763e-05,6.049573585187318e-06,7.530301900260383e-06,4.375353455543518e-05,0.03307849700878256,0.024937644600868225,1.0,4.3491162424937765e-05
prior,6,ACC_x,512,1000,1000,0.15808185935020447,0.07744674384593964,0.0006052840035408735,0.0013227940071374178,0.5446513295173645,0.0008783881785348058,0.0008763968944549561,0.000373251736164093,0.0005226150387898088,0.0013190254103392363,1.2441634680726565e-05,9.775161743164062e-06,4.05251967094955e-06,4.947185516357422e-06,2.8004496925859712e-05,0.005556540023918119,0.0006052840035408735,0.13,7.870374710841528e-05
prior,7,ACC_x,512,1000,1000,0.52339106798172,0.32956817746162415,0.04045840725302696,0.0632619857788086,1.5424245595932007,0.12146180868148804,0.09087195992469788,0.051932111382484436,0.05585997551679611,0.21293394267559052,1.586459438840393e-05,1.1898577213287354e-05,5.362536739994539e-06,6.616115570068359e-06,3.8304831832647324e-05,0.23206702619107408,0.04045840725302696,0.0,3.0311167612356003e-05
prior,8,ACC_x,512,1000,1000,0.09310116618871689,0.011664211750030518,1.6689300537109375e-05,0.00015255212201736867,0.4994528591632843,0.0005183744942769408,0.0004242509603500366,4.234373409417458e-05,9.206533286487684e-05,0.0014805241953581572,1.3811673852615058e-05,1.080334186553955e-05,4.291236564313294e-06,5.4836273193359375e-06,3.2323598134098575e-05,0.005567862525225421,1.6689300537109375e-05,0.0,0.00014835124432940693
prior,1,ACC_y,512,1000,1000,0.007726576179265976,0.00014195777475833893,0.0,9.313225746154785e-09,0.048595163971185684,0.00012439234706107527,0.00011884979903697968,2.031137228186708e-05,3.517158256727271e-05,0.0002458169183228165,6.5548456404940225e-06,4.614994395524263e-06,1.3489031971403165e-06,1.884065568447113e-06,1.3868639143765904e-05,0.01609928436283049,0.0,0.0,0.0008483506133135327
prior,2,ACC_y,512,1000,1000,0.282439649105072,0.22326898574829102,0.06589125841856003,0.09333086013793945,0.698885440826416,0.06241733580827713,0.026284217834472656,0.013387198559939861,0.013854932971298695,0.15087634325027466,1.6711055650375783e-05,1.2874603271484375e-05,4.291534423828125e-06,5.7220458984375e-06,3.8924812542973086e-05,0.22099353262210325,0.06589125841856003,0.6,5.916681918889868e-05
